"county","FIPS","rcp","model","years","X2yr","X5yr","X10yr","X25yr","X50yr","X100yr"
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.3125530452519,23.2031655422289,26.163739785079,30.4084134074792,33.9667396426767,37.8860407047233
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.2028932734721,23.0781606634647,26.0217021406399,30.2349440989209,33.7612772651339,37.6400408268323
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.1724456528978,23.1985819796561,26.1833307533718,30.3618110366611,33.7851364579207,37.4825914598698
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.3170822958227,23.5510303354753,26.6643954015917,30.9907027688823,34.5098700649825,38.2877254258251
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",20.130349624535,24.4389961386313,27.5078329048072,31.6502752390051,34.9267639765562,38.3611289848277
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.6915388787889,23.9748655411844,26.9711905189687,30.9501472123425,34.0479250401774,37.2515442796828
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.4672405696623,23.5978291337412,26.507119415368,30.3945182117331,33.4392244965045,36.6040698440568
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.4810849263064,23.4431584322939,26.2876758461389,30.1551700131111,33.2356258484694,36.4837698583456
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.018738620875,23.0065393403262,25.9292703442832,29.9785126909562,33.2627929044484,36.7798134960101
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.1280513553715,23.1609578720794,26.0765471962355,30.0658426361479,33.2627977045209,36.6513807335933
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",18.5591027960272,22.4781239290185,25.4567865912355,29.7227712024881,33.2952391653807,37.2266188889996
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",18.0563585290384,21.980385265902,25.0212954715389,29.4544990855938,33.2309387438643,37.4478309981632
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",18.2910954188036,22.3623384023666,25.4881902923043,30.0066525163712,33.8244141291551,38.0578121968537
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",18.9012167389232,22.6468277474387,25.6555049155726,30.1886137728217,34.1740939564866,38.7462549225781
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.2005447922246,23.0037622444082,25.9442750357219,30.2220807065198,33.8587689166447,37.912587670068
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.1969642662845,23.1526560702439,26.0941993167377,30.2237469547645,33.6161284429959,37.2886065482332
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.6885071304896,23.7384835779132,26.5794725405388,30.3616909508128,33.3135073949132,36.3725332355774
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.7661870268265,24.1173861092646,27.1423715640783,31.136868147818,34.2298602616072,37.4137537681355
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.4473293734133,23.6303402657171,26.5969707353454,30.5859165761162,33.7291612603451,37.0133388718518
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.4838010343241,23.5063853244701,26.3894454491047,30.3032961679408,33.4160280556027,36.6940383554571
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.2203683307182,23.2173786171522,26.1372613563057,30.1704812879781,33.4323444268593,36.9167834865893
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.2834317293004,23.3565519838215,26.3096859344429,30.3609302672299,33.6157358532413,37.0730637292679
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.0446545596437,23.1840304323992,26.2338383776814,30.4794228117971,33.9388954164299,37.6581385640596
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",18.4123994880259,22.4866157881779,25.5927288619815,30.053720093372,33.7995667678587,37.9312321333487
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",17.9305702910047,21.9291014355503,25.1238816416199,29.9138752671258,34.1055013091858,38.8948955636542
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",17.9805510825593,21.9248700554181,25.1444386965766,30.0675298472841,34.4575451910385,39.5551467636459
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",18.8528012810376,22.4756501248188,25.4779531296131,30.1334001658415,34.340552654274,39.2820112948795
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.0706955154139,22.7150258862635,25.6363264318776,30.0294569695261,33.8848683555989,38.3009532305038
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.2729562025901,23.1386499580086,26.0691741830982,30.2562777026147,33.754701238085,37.5971106158009
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.5515784396584,23.7963391473076,26.9790370750242,31.4809756998363,35.2062475898903,39.2641800261216
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.6910728686248,24.0348114943142,27.2934072484016,31.9048812968271,35.7225275420955,39.8826970838454
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.6939187640784,23.9695337605109,27.1808969883419,31.7305406555529,35.5009989935928,39.6134685495019
"wascoCA_50km_shp","shp","rcp45","BNU-ESM","1950-1999",19.6908927656291,23.8821670707574,27.0283008369564,31.4830973917038,35.1730111467225,39.1958243731901
