"county","FIPS","rcp","model","X2yr","X5yr","X10yr","X25yr","X50yr","X100yr"
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.16114670936388,1.150890539133,1.14875754972003,1.15063822079753,1.15497020196372,1.16149213501479
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.18096015234188,1.17564547442317,1.16561438925265,1.14714433375013,1.13006697050058,1.11082863900549
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.16868690840205,1.1678841687285,1.16161918161289,1.14878182674044,1.13644127656947,1.12229457454083
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.1691346293772,1.15704298788004,1.14715195914193,1.13304917142302,1.12166797616329,1.10974881021246
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.12329500255167,1.12723823172369,1.12909130504134,1.13080753172458,1.13172772196017,1.13240268537762
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.1493989936854,1.14320345819376,1.14584271388408,1.15493462321255,1.16508533933071,1.1776026164417
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.14286595191636,1.14354836422025,1.15587308228322,1.18253105425738,1.20941040918197,1.24161365136143
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.14828668490069,1.16276020479109,1.17964073637464,1.20806191847648,1.23378567840042,1.2629656921693
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.12933771940743,1.15131541935247,1.17968927517307,1.23007290960348,1.27760265800921,1.33328115414373
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.07952218394789,1.10447325174784,1.15269465704719,1.25109143830175,1.35339121844359,1.4824849329841
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.10109224132521,1.13045795469077,1.18160126243868,1.28543798972571,1.39370735665153,1.5307414844621
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.1158465326115,1.14503962155993,1.19898214254734,1.31085908523996,1.42912976991224,1.58024172150273
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.09501994685699,1.12499399285881,1.17913510440051,1.29022261991761,1.40683361729952,1.55515906810085
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.18772684887584,1.1654975740701,1.15052861668543,1.13150456059546,1.11740221155561,1.10347525417014
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.20055494026515,1.19927364859325,1.18921500759472,1.16814838743409,1.14761871738946,1.12392361255155
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.17989368876106,1.17731377081855,1.16749293455147,1.14822979603291,1.13009461423015,1.10957312002681
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.15698375259841,1.15748392705539,1.15778376249335,1.15813808890265,1.15838780584669,1.15862731666061
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.14354947158175,1.13707236219746,1.14008354117057,1.15006138013342,1.16109769500595,1.17465132785347
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.15086147088198,1.15164859230178,1.16104248560935,1.18101187738814,1.20089500337909,1.22447033749781
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.1591421604987,1.16969211747073,1.18055314561577,1.19788900353534,1.21302689676667,1.22977681662478
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.14206636779338,1.15489623650903,1.17474483661539,1.21132430087464,1.24623967044897,1.28720821335359
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.14067749989724,1.15270344177744,1.18263756964377,1.2441668832182,1.30691661537921,1.38407222077872
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.11361948865147,1.13049627816508,1.16988135834309,1.25200534759053,1.33748284821464,1.4447068421246
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.12983393557946,1.13500927641359,1.17481133664578,1.26998844810545,1.37653238774435,1.51663092000616
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.13929616477582,1.15464166980777,1.19603480092158,1.28738830264839,1.38603920741915,1.51273246934563
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.11092551981927,1.13690197882209,1.18362061118367,1.28032751146026,1.3820349594277,1.51086745743026
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.16938205681349,1.17271857562275,1.16580285603197,1.14766206751222,1.12824081783381,1.10470085758599
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.18548554693006,1.2063449675515,1.20649146594456,1.19334635076175,1.17540462077861,1.15185570522014
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.18371339820256,1.19464041424159,1.18986151959459,1.17332682149121,1.15505101575957,1.13291361166549
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.17209564224715,1.17264132861931,1.16458001189006,1.14726920254048,1.13042080713157,1.11106094688387
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.17002078512407,1.171985521834,1.16528797330589,1.15004199976423,1.13490108697583,1.11733554043888
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.17913409255496,1.17400767659262,1.16613004024779,1.15227167144508,1.13973226351114,1.12575082671234
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.18222363084151,1.17794539021357,1.17124347338416,1.15935913897944,1.14854297320557,1.13643064506027
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.15339970181656,1.16419413351281,1.17390748549086,1.18874846148979,1.2014371369359,1.21532797229715
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1.1450046210804,1.14822103142407,1.16312258937631,1.19566791084546,1.22936300883279,1.27067743856194
