"county","FIPS","rcp","model","years","X2yr","X5yr","X10yr","X25yr","X50yr","X100yr"
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",55.2929055945762,65.6959961706535,76.8139806143075,98.6840867181109,123.434153478287,158.7218682758
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",56.0288836426573,66.4899950099994,77.6513367955571,99.572013003214,124.342583970442,159.614229613193
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",55.8223916481813,66.1659987951674,77.2372357747007,99.0468049599927,123.761692594643,159.040476498007
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",56.3375248881508,66.7568261748672,77.7228166417479,98.98313825664,122.718266871287,156.1628119719
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",57.7141921973776,68.3316191314245,79.3474667137856,100.417564429646,123.643884514016,156.014174925963
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",54.0837395721711,64.8682066295041,76.2369036904944,98.3117552290127,122.991627211637,157.810632035564
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",55.0292987301124,65.8149472022871,77.2652482103006,99.6473196832407,124.827498053318,160.545091555465
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",55.6115160448769,65.6385499972413,76.5047540922143,98.1635360637823,122.978957610768,158.740494220782
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",56.2538900539236,66.613590470705,77.5820758839982,98.9676431241598,122.969246352217,156.944577167264
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",58.8747139007341,69.8249775956989,81.0731940893725,102.385659163344,125.671944430375,157.878035598889
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",62.9010430030707,74.7874945298677,86.861156148235,109.496774641222,133.984046921553,167.561207243127
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",65.1420603842784,77.8785585336561,90.5812050160878,113.989295846315,138.905216058747,172.595086530326
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",63.9102040801905,76.754604063281,89.4659331501765,112.719816942792,137.302215601112,170.344576979525
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",62.4509764396733,74.1684203614903,85.9722813802345,107.930079766487,131.510458034287,163.639698747316
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",61.8170003208306,72.7405289353076,83.8749183974486,104.818457056201,127.545464597919,158.792435015907
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",61.5848458710927,72.5417602996996,83.578476005788,104.107449784591,126.15163810756,156.185658593691
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",60.6959806365173,71.603333059,82.6034939698019,103.087927003508,125.107999130712,155.137110023573
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",60.7609728236904,72.2085176693726,83.5766980722861,104.441177024658,126.565300474446,156.382115740699
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",61.4444697024586,73.149914181111,84.6863035148277,105.708924880599,127.851387076578,157.520196084974
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",54.7972502594473,65.9490051029407,77.5853316145798,99.9623981021772,124.754358970083,159.4580501866
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",55.574343846588,66.4649280877775,77.9384368225519,100.203846245663,125.083195364153,160.167060785771
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",55.8144709705345,66.5264026806356,77.7436227190462,99.3874174208951,123.442736001034,157.207346752305
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",56.4247721736441,67.3008668556883,78.6180916014181,100.324466192466,124.314220457708,157.823509646218
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",58.6661665744926,70.1306716165095,81.8927626260606,104.15323647026,128.449038414934,162.019924373755
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",60.6084789549944,72.6466066309054,84.7683616972022,107.3084841547,131.50510107642,164.463261751481
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",63.9589298148593,76.6385434671665,89.2736864048784,112.538722737583,137.283691093495,170.72060505872
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",65.5032047847327,78.0904618654588,90.6869542526533,113.973715738125,138.835142623257,172.538773749407
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",63.1021708962805,74.2582766732877,85.7051481659044,107.371166725218,131.020330950353,163.700314464253
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",63.0392030541544,74.0598485633278,85.148555965562,105.752878035555,127.856424680664,157.945966744736
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",63.7451134118084,75.1026112524425,86.3300743433403,106.848148069207,128.517298321525,157.619312049651
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",61.9487548116574,72.8083569553098,83.6609242089618,103.69767075589,125.063152574432,153.996867072436
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM","1950-1999",60.4058660504678,71.3111621279156,82.2724045167869,102.619942405936,124.427921387469,154.091484445916
