"county","FIPS","rcp","model","centralDecade","aveWetDays","fiveYrAveTotWetDaysCentYr_.10","fiveYrAveTotWetDaysCentYr_.9","fiveYrAveTotWetDaysCentYr_.8","fiveYrAveTotWetDaysCentYr_.7","fiveYrAveTotWetDaysCentYr_.6","fiveYrAveTotWetDaysCentYr_.5","fiveYrAveTotWetDaysCentYr_.4","fiveYrAveTotWetDaysCentYr_.3","fiveYrAveTotWetDaysCentYr_.2","fiveYrAveTotWetDaysCentYr_.1","fiveYrAveTotWetDaysCentYr_0","fiveYrAveTotWetDaysCentYr_1","fiveYrAveTotWetDaysCentYr_2","fiveYrAveTotWetDaysCentYr_3","fiveYrAveTotWetDaysCentYr_4","fiveYrAveTotWetDaysCentYr_5","fiveYrAveTotWetDaysCentYr_6","fiveYrAveTotWetDaysCentYr_7","fiveYrAveTotWetDaysCentYr_8","fiveYrAveTotWetDaysCentYr_9","fiveYrAveTotWetDaysCentYr_10","fiveYrAveTotWetDaysCentYr_11","fiveYrAveTotWetDaysCentYr_12","fiveYrAveTotWetDaysCentYr_13","fiveYrAveTotWetDaysCentYr_14","fiveYrAveTotWetDaysCentYr_15","fiveYrAveTotWetDaysCentYr_16","fiveYrAveTotWetDaysCentYr_17","fiveYrAveTotWetDaysCentYr_18","fiveYrAveTotWetDaysCentYr_19"
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM",1970,1156.5946010807,1066.82248609328,1112.4374183004,1162.86089732083,1214.74214311862,1275.23761996824,1264.59560181764,1249.06871156133,1199.74945351405,1129.00158890985,1086.91998328369,1118.25066683574,1098.62447871083,1179.27992255486,1287.27628888746,1267.64814161127,1212.69396808957,1148.88388571276,1044.14026247448,949.578781310489,954.887891449074,1024.51833469175,1078.02373334314,1150.0028593572,1135.2885436497,1218.60371682068,1218.17860659147,1263.79603431807,1203.53421126276,1251.18221392146,1162.08325774865
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM",2000,1223.07990262294,1146.76985578183,1138.58396106856,1254.39329491445,1185.95294307021,1199.04641859606,1247.96368593916,1243.73082578613,1202.00482770998,1311.13831650691,1353.98016011465,1308.10143562346,1349.26675837125,1294.15479211767,1247.64633957027,1200.56629795263,1211.25285426769,1112.3663497654,1144.81853373697,1183.36739986561,1227.91111341568,1179.87412434279,1236.19466993676,1249.02744116678,1224.06113274589,1205.05899838837,1245.5653793279,1210.77934139609,1194.08052609176,1212.12186765119,1254.25421066735
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM",2030,1257.31313082334,1227.73423719567,1240.20648454637,1220.38317378651,1191.88160946357,1189.60975226744,1261.96674017717,1309.22549092004,1283.42492348898,1308.14800070802,1237.64510446066,1144.33389469909,1107.47903899687,1162.80645276018,1151.31664487244,1200.39220260124,1235.87285544325,1291.52516813939,1277.98067249881,1302.11066541815,1321.08121533472,1369.15595528598,1345.10664414326,1340.4423492193,1312.01472626111,1297.49920556356,1261.36764617578,1271.02606249643,1258.84121318627,1265.59664217413,1260.02251701393
"mtsunapeeNH_50km_shp","shp","rcp45","BNU-ESM",2060,1243.65580733644,1292.25190690548,1208.91768199487,1221.60360269297,1212.65399574585,1227.40668278759,1242.50606200111,1287.53996226703,1305.20357487455,1271.59942381024,1230.2161066806,1160.10883212951,1209.19844103625,1228.70336699216,1226.8498052682,1257.26458120056,1311.91031612548,1229.83552792233,1208.38128150162,1210.99831990761,1252.66036378101,1235.86852275902,1339.6907922491,1329.88347019179,1350.55968245135,1278.10026904123,1259.66659630436,1146.0432108687,1168.15954776555,1143.83493058724,1246.37942970184
"mtsunapeeNH_50km_shp","shp","rcp85","BNU-ESM",1970,1156.5946010807,1066.82248609328,1112.4374183004,1162.86089732083,1214.74214311862,1275.23761996824,1264.59560181764,1249.06871156133,1199.74945351405,1129.00158890985,1086.91998328369,1118.25066683574,1098.62447871083,1179.27992255486,1287.27628888746,1267.64814161127,1212.69396808957,1148.88388571276,1044.14026247448,949.578781310489,954.887891449074,1024.51833469175,1078.02373334314,1150.0028593572,1135.2885436497,1218.60371682068,1218.17860659147,1263.79603431807,1203.53421126276,1251.18221392146,1162.08325774865
"mtsunapeeNH_50km_shp","shp","rcp85","BNU-ESM",2000,1216.13962821632,1146.76985578183,1138.58396106856,1254.39329491445,1185.95294307021,1199.04641859606,1247.96368593916,1243.73082578613,1202.00482770998,1311.13831650691,1353.98016011465,1308.10143562346,1349.26675837125,1294.15479211767,1247.64633957027,1209.94261764147,1179.7635799151,1192.98334155937,1224.92248606952,1291.91538978171,1279.05765041302,1299.6543609421,1261.87855807748,1213.87846533165,1117.93327125762,1116.38648940397,1146.61692337809,1056.99420934412,1107.48390315465,1055.66472421123,1133.51434256644
"mtsunapeeNH_50km_shp","shp","rcp85","BNU-ESM",2030,1285.87813362744,1124.11083645833,1150.11239091963,1162.76392495419,1287.88635353821,1306.92494648844,1301.49463214838,1404.07880922765,1429.12728554957,1431.64798935366,1417.59605105012,1412.25783377709,1369.20023448737,1318.09342586318,1298.144497182,1224.85503473493,1210.33660105634,1127.71018982632,1132.0460831621,1124.93350822521,1174.80383135278,1181.14489684065,1293.68340135217,1328.9142353577,1373.02593711961,1346.77142686554,1375.90645711498,1386.59294345177,1344.32384687791,1248.44566355243,1325.26232723694
"mtsunapeeNH_50km_shp","shp","rcp85","BNU-ESM",2060,1300.10217383055,1339.83703895098,1268.66915516982,1296.75515286113,1294.10068770711,1190.63084793908,1219.34096330328,1256.35021241694,1262.09775703682,1274.86906741954,1271.89055897847,1259.06754455522,1225.03448987909,1245.85935419101,1263.8918119,1300.99504837523,1306.91006023791,1413.06761689814,1353.81657385274,1414.48334426787,1470.32929378841,1396.13162318671,1326.11585215678,1322.77715033009,1272.87294686076,1214.46372831748,1277.01196337314,1211.17540169676,1319.30705471148,1362.21791801118,1366.37845014998
"mtsunapeeNH_50km_shp","shp","rcp45","CCSM4",1970,1182.39475194308,1165.41572484914,1195.68195873688,1158.03441510635,1194.39648389929,1131.65753873707,1092.42334104764,1077.24880992819,1074.22260576515,1107.26007899086,1141.34226321816,1177.9394496279,1216.59905311477,1273.48909329023,1234.62975716873,1209.90602595113,1244.33427853318,1160.19657772614,1196.32808493279,1192.97443363115,1179.52728581275,1128.83837559823,1182.61065672423,1200.88275498118,1164.5049408819,1215.04608973162,1296.58833423166,1284.35845508056,1191.41155758277,1232.42401214945,1191.08586408099
"mtsunapeeNH_50km_shp","shp","rcp45","CCSM4",2000,1206.11874185741,1155.37215428769,1159.60521867682,1118.64888259845,1100.60705057809,1140.91575870437,1134.09421621199,1119.93315142075,1180.56304280629,1171.9626147913,1140.06722275119,1138.12622738191,1164.07796048486,1198.732057334,1184.63466964292,1247.47261443126,1277.14198257206,1276.77230917654,1276.58915519646,1245.63719339858,1150.651609194,1094.01464167318,1104.82562664481,1112.40660279526,1236.90438893707,1255.41711117605,1330.55304298079,1357.6886818771,1349.77271041399,1274.1032554355,1340.32606227176
