"county","FIPS","rcp","model","centralDecade","aveWetDays","threshold","fiveYrAveWetDaysCentYr_.10","fiveYrAveWetDaysCentYr_.9","fiveYrAveWetDaysCentYr_.8","fiveYrAveWetDaysCentYr_.7","fiveYrAveWetDaysCentYr_.6","fiveYrAveWetDaysCentYr_.5","fiveYrAveWetDaysCentYr_.4","fiveYrAveWetDaysCentYr_.3","fiveYrAveWetDaysCentYr_.2","fiveYrAveWetDaysCentYr_.1","fiveYrAveWetDaysCentYr_0","fiveYrAveWetDaysCentYr_1","fiveYrAveWetDaysCentYr_2","fiveYrAveWetDaysCentYr_3","fiveYrAveWetDaysCentYr_4","fiveYrAveWetDaysCentYr_5","fiveYrAveWetDaysCentYr_6","fiveYrAveWetDaysCentYr_7","fiveYrAveWetDaysCentYr_8","fiveYrAveWetDaysCentYr_9","fiveYrAveWetDaysCentYr_10","fiveYrAveWetDaysCentYr_11","fiveYrAveWetDaysCentYr_12","fiveYrAveWetDaysCentYr_13","fiveYrAveWetDaysCentYr_14","fiveYrAveWetDaysCentYr_15","fiveYrAveWetDaysCentYr_16","fiveYrAveWetDaysCentYr_17","fiveYrAveWetDaysCentYr_18","fiveYrAveWetDaysCentYr_19"
"mtsunapeeNH_100km_shp","shp","rcp85","GFDL-ESM2G",2060,2.46222222222222,46.4107839348774,2.18151515151515,2.21606060606061,1.81848484848485,2.11212121212121,2.2430303030303,2.30121212121212,2.30939393939394,2.56545454545455,2.60787878787879,2.86484848484848,2.79666666666667,2.64727272727273,2.5830303030303,2.97666666666667,2.68787878787879,3.03878787878788,3.06,3.31545454545455,2.9730303030303,2.43030303030303,2.11212121212121,1.82969696969697,1.78454545454545,1.54848484848485,2.05272727272727,2.10606060606061,2.48181818181818,2.70636363636364,3.76787878787879,3.63090909090909
"mtsunapeeNH_100km_shp","shp","rcp45","GFDL-ESM2M",1970,1.70752525252525,44.618392407083,1.49090909090909,1.59090909090909,1.37575757575758,1.4,1.14939393939394,1.09272727272727,1.19515151515152,1.52393939393939,1.51363636363636,1.58,1.63545454545455,1.56848484848485,1.82363636363636,1.94939393939394,1.94060606060606,2.05212121212121,1.83757575757576,1.37121212121212,1.31242424242424,1.73787878787879,1.92090909090909,2.57121212121212,3.0169696969697,2.93060606060606,2.25272727272727,1.76969696969697,1.10121212121212,1.13363636363636,1.26424242424242,1.08121212121212
"mtsunapeeNH_100km_shp","shp","rcp45","GFDL-ESM2M",2000,1.99232323232323,44.618392407083,1.58212121212121,1.89757575757576,1.61666666666667,1.39606060606061,1.49212121212121,1.34242424242424,1.22181818181818,1.26727272727273,1.61636363636364,1.85606060606061,1.93363636363636,2.4469696969697,2.46090909090909,2.6969696969697,3.03393939393939,3.23272727272727,3.17393939393939,3.32727272727273,3.06939393939394,2.54121212121212,2.43545454545455,1.94424242424242,1.85181818181818,1.75757575757576,2.07575757575758,1.80757575757576,1.88848484848485,1.43,1.92454545454545,2.06030303030303
"mtsunapeeNH_100km_shp","shp","rcp45","GFDL-ESM2M",2030,2.23540404040404,44.618392407083,2.47878787878788,2.88090909090909,3.35363636363636,2.85484848484848,2.64333333333333,2.21848484848485,2.07818181818182,1.72242424242424,1.46181818181818,1.11757575757576,1.35636363636364,1.48030303030303,1.76212121212121,1.64151515151515,1.67363636363636,2.29393939393939,2.08515151515151,2.34666666666667,2.65909090909091,2.79666666666667,2.61727272727273,2.37121212121212,2.64181818181818,2.64818181818182,2.62,1.75545454545455,1.81454545454545,1.58575757575758,2.11333333333333,2.24454545454545
"mtsunapeeNH_100km_shp","shp","rcp45","GFDL-ESM2M",2060,2.64166666666667,44.618392407083,2.93848484848485,3.55393939393939,3.73545454545455,3.45363636363636,3.49848484848485,3.11757575757576,2.74878787878788,2.68727272727273,2.39787878787879,2.33363636363636,2.38393939393939,2.22272727272727,1.60787878787879,1.53424242424242,2.01757575757576,1.68090909090909,1.79333333333333,2.34757575757576,2.83818181818182,2.70454545454545,3.04484848484848,3.62878787878788,3.09636363636364,3.12121212121212,2.90939393939394,3.10212121212121,2.60606060606061,2.37545454545455,2.04727272727273,1.98272727272727
"mtsunapeeNH_100km_shp","shp","rcp85","GFDL-ESM2M",1970,1.89787878787879,43.2938206195089,1.68515151515152,1.79393939393939,1.56030303030303,1.56030303030303,1.25424242424242,1.21060606060606,1.32666666666667,1.67333333333333,1.69181818181818,1.75848484848485,1.83787878787879,1.75545454545455,2.04060606060606,2.18515151515152,2.22121212121212,2.30090909090909,2.06424242424242,1.57969696969697,1.48939393939394,1.92454545454545,2.14939393939394,2.85454545454545,3.29212121212121,3.21393939393939,2.46878787878788,1.93969696969697,1.20939393939394,1.24121212121212,1.3869696969697,1.19727272727273
"mtsunapeeNH_100km_shp","shp","rcp85","GFDL-ESM2M",2000,1.96363636363636,43.2938206195089,1.71727272727273,2.05939393939394,1.76030303030303,1.49575757575758,1.60848484848485,1.49787878787879,1.38757575757576,1.47060606060606,1.82818181818182,2.09333333333333,2.14181818181818,2.70333333333333,2.68333333333333,2.95242424242424,2.90545454545455,2.6169696969697,2.20666666666667,2.13848484848485,1.41333333333333,1.41757575757576,1.85090909090909,1.76878787878788,2.08484848484848,2.48212121212121,2.8130303030303,2.27757575757576,2.31242424242424,1.64424242424242,1.92939393939394,2.2630303030303
"mtsunapeeNH_100km_shp","shp","rcp85","GFDL-ESM2M",2030,2.57651515151515,43.2938206195089,2.62515151515152,2.65333333333333,3.15878787878788,2.48848484848485,1.84757575757576,1.46848484848485,1.86545454545455,1.5069696969697,1.81454545454545,1.84606060606061,2.7869696969697,2.37181818181818,2.86121212121212,2.76181818181818,3.04575757575758,2.34424242424242,2.34363636363636,2.26787878787879,2.13454545454545,2.01878787878788,2.1630303030303,2.07666666666667,2.22151515151515,2.44454545454545,2.39151515151515,2.23484848484848,3.18545454545455,3.44272727272727,3.39151515151515,3.85878787878788
"mtsunapeeNH_100km_shp","shp","rcp85","GFDL-ESM2M",2060,2.60818181818182,43.2938206195089,3.96818181818182,3.58787878787879,2.87878787878788,2.96333333333333,1.9869696969697,1.92212121212121,1.22030303030303,1.67454545454545,1.77,1.96878787878788,1.79454545454545,2.62060606060606,2.00515151515151,1.50878787878788,1.90969696969697,1.84060606060606,1.85272727272727,2.05606060606061,2.52515151515151,2.14030303030303,2.72,2.23242424242424,2.16181818181818,2.60030303030303,3.27424242424242,3.40363636363636,4.35424242424242,4.87272727272727,4.09939393939394,3.39606060606061
"mtsunapeeNH_100km_shp","shp","rcp45","HadGEM2-CC365",1970,1.84525252525253,43.6746069727185,1.22878787878788,0.816969696969697,1.73181818181818,1.73575757575758,2.2930303030303,2.70969696969697,2.79242424242424,2.37545454545455,2.18030303030303,1.96242424242424,1.89727272727273,1.88818181818182,1.78090909090909,2.47454545454545,2.3430303030303,1.94969696969697,1.60393939393939,1.49484848484848,0.794545454545455,1.13757575757576,1.53636363636364,1.63545454545455,1.29242424242424,1.33060606060606,2.04030303030303,1.82818181818182,1.82575757575758,2.39606060606061,2.43545454545455,1.29606060606061
