"county","FIPS","rcp","model","period","thres"
"mtsunapeeNH_100km_shp","shp","rcp85","IPSL-CM5A-LR","1990-2019",41.8463370749069
"mtsunapeeNH_100km_shp","shp","rcp85","IPSL-CM5A-LR","2020-2049",43.0838593833856
"mtsunapeeNH_100km_shp","shp","rcp85","IPSL-CM5A-LR","2050-2079",44.3505771715328
"mtsunapeeNH_100km_shp","shp","rcp45","IPSL-CM5A-MR","1990-2019",45.804128019828
"mtsunapeeNH_100km_shp","shp","rcp45","IPSL-CM5A-MR","2020-2049",42.1466231294526
"mtsunapeeNH_100km_shp","shp","rcp45","IPSL-CM5A-MR","2050-2079",44.854112658886
"mtsunapeeNH_100km_shp","shp","rcp85","IPSL-CM5A-MR","1990-2019",42.5513022616492
"mtsunapeeNH_100km_shp","shp","rcp85","IPSL-CM5A-MR","2020-2049",44.1599240246638
"mtsunapeeNH_100km_shp","shp","rcp85","IPSL-CM5A-MR","2050-2079",48.4699185774813
"mtsunapeeNH_100km_shp","shp","rcp45","IPSL-CM5B-LR","1990-2019",41.4610987003818
"mtsunapeeNH_100km_shp","shp","rcp45","IPSL-CM5B-LR","2020-2049",42.3688985037871
"mtsunapeeNH_100km_shp","shp","rcp45","IPSL-CM5B-LR","2050-2079",46.8424920151518
"mtsunapeeNH_100km_shp","shp","rcp85","IPSL-CM5B-LR","1990-2019",43.332828700424
"mtsunapeeNH_100km_shp","shp","rcp85","IPSL-CM5B-LR","2020-2049",42.0695390886403
"mtsunapeeNH_100km_shp","shp","rcp85","IPSL-CM5B-LR","2050-2079",45.9625485002402
"mtsunapeeNH_100km_shp","shp","rcp45","MIROC-ESM-CHEM","1990-2019",42.9905277410382
"mtsunapeeNH_100km_shp","shp","rcp45","MIROC-ESM-CHEM","2020-2049",46.8636801304856
"mtsunapeeNH_100km_shp","shp","rcp45","MIROC-ESM-CHEM","2050-2079",49.0649901654022
"mtsunapeeNH_100km_shp","shp","rcp85","MIROC-ESM-CHEM","1990-2019",43.6939613493524
"mtsunapeeNH_100km_shp","shp","rcp85","MIROC-ESM-CHEM","2020-2049",46.842845837121
"mtsunapeeNH_100km_shp","shp","rcp85","MIROC-ESM-CHEM","2050-2079",50.3813192733928
"mtsunapeeNH_100km_shp","shp","rcp45","MIROC-ESM","1990-2019",43.6252055754267
"mtsunapeeNH_100km_shp","shp","rcp45","MIROC-ESM","2020-2049",44.0011843121769
"mtsunapeeNH_100km_shp","shp","rcp45","MIROC-ESM","2050-2079",44.9176034607386
"mtsunapeeNH_100km_shp","shp","rcp85","MIROC-ESM","1990-2019",41.9573252041653
"mtsunapeeNH_100km_shp","shp","rcp85","MIROC-ESM","2020-2049",45.289390743509
"mtsunapeeNH_100km_shp","shp","rcp85","MIROC-ESM","2050-2079",49.3372060059027
"mtsunapeeNH_100km_shp","shp","rcp45","MIROC5","1990-2019",42.4536681488259
"mtsunapeeNH_100km_shp","shp","rcp45","MIROC5","2020-2049",48.7435337830341
"mtsunapeeNH_100km_shp","shp","rcp45","MIROC5","2050-2079",46.835868331913
"mtsunapeeNH_100km_shp","shp","rcp85","MIROC5","1990-2019",42.7913833235818
"mtsunapeeNH_100km_shp","shp","rcp85","MIROC5","2020-2049",47.802172590904
"mtsunapeeNH_100km_shp","shp","rcp85","MIROC5","2050-2079",49.0116069526509
"mtsunapeeNH_100km_shp","shp","rcp45","MRI-CGCM3","1990-2019",44.0099106695281
"mtsunapeeNH_100km_shp","shp","rcp45","MRI-CGCM3","2020-2049",44.909298073442
"mtsunapeeNH_100km_shp","shp","rcp45","MRI-CGCM3","2050-2079",45.2699330688977
"mtsunapeeNH_100km_shp","shp","rcp85","MRI-CGCM3","1990-2019",42.6517495752267
"mtsunapeeNH_100km_shp","shp","rcp85","MRI-CGCM3","2020-2049",42.3906185353125
"mtsunapeeNH_100km_shp","shp","rcp85","MRI-CGCM3","2050-2079",49.5907993135337
"mtsunapeeNH_100km_shp","shp","rcp45","NorESM1-M","1990-2019",43.205749533792
"mtsunapeeNH_100km_shp","shp","rcp45","NorESM1-M","2020-2049",43.5127927712806
"mtsunapeeNH_100km_shp","shp","rcp45","NorESM1-M","2050-2079",47.2177875268387
"mtsunapeeNH_100km_shp","shp","rcp85","NorESM1-M","1990-2019",43.7087646490425
"mtsunapeeNH_100km_shp","shp","rcp85","NorESM1-M","2020-2049",47.0359708575711
"mtsunapeeNH_100km_shp","shp","rcp85","NorESM1-M","2050-2079",47.7435265373346
"mtsunapeeNH_100km_shp","shp","rcp45","bcc-csm1-1-m","1990-2019",43.4519218523189
"mtsunapeeNH_100km_shp","shp","rcp45","bcc-csm1-1-m","2020-2049",47.9771095760654
"mtsunapeeNH_100km_shp","shp","rcp45","bcc-csm1-1-m","2050-2079",46.4537746943031
"mtsunapeeNH_100km_shp","shp","rcp85","bcc-csm1-1-m","1990-2019",44.3821023522088
"mtsunapeeNH_100km_shp","shp","rcp85","bcc-csm1-1-m","2020-2049",45.4965287203538
"mtsunapeeNH_100km_shp","shp","rcp85","bcc-csm1-1-m","2050-2079",51.2830053993822
"mtsunapeeNH_100km_shp","shp","rcp45","bcc-csm1-1","1990-2019",45.3137230754862
"mtsunapeeNH_100km_shp","shp","rcp45","bcc-csm1-1","2020-2049",48.8175535666639
"mtsunapeeNH_100km_shp","shp","rcp45","bcc-csm1-1","2050-2079",45.7616865532278
"mtsunapeeNH_100km_shp","shp","rcp85","bcc-csm1-1","1990-2019",45.9616929965472
"mtsunapeeNH_100km_shp","shp","rcp85","bcc-csm1-1","2020-2049",47.2584847271245
"mtsunapeeNH_100km_shp","shp","rcp85","bcc-csm1-1","2050-2079",48.2854326805818
"mtsunapeeNH_100km_shp","shp","rcp45","inmcm4","1990-2019",43.2062331929313
"mtsunapeeNH_100km_shp","shp","rcp45","inmcm4","2020-2049",46.3078126882543
"mtsunapeeNH_100km_shp","shp","rcp45","inmcm4","2050-2079",45.2924070793566
"mtsunapeeNH_100km_shp","shp","rcp85","inmcm4","1990-2019",42.628393419234
"mtsunapeeNH_100km_shp","shp","rcp85","inmcm4","2020-2049",42.4847733731462
"mtsunapeeNH_100km_shp","shp","rcp85","inmcm4","2050-2079",44.6316239119135
