"county","FIPS","rcp","model","centralDecade","aveWetDays","threshold","fiveYrAveTotWetDaysCentYr_.10","fiveYrAveTotWetDaysCentYr_.9","fiveYrAveTotWetDaysCentYr_.8","fiveYrAveTotWetDaysCentYr_.7","fiveYrAveTotWetDaysCentYr_.6","fiveYrAveTotWetDaysCentYr_.5","fiveYrAveTotWetDaysCentYr_.4","fiveYrAveTotWetDaysCentYr_.3","fiveYrAveTotWetDaysCentYr_.2","fiveYrAveTotWetDaysCentYr_.1","fiveYrAveTotWetDaysCentYr_0","fiveYrAveTotWetDaysCentYr_1","fiveYrAveTotWetDaysCentYr_2","fiveYrAveTotWetDaysCentYr_3","fiveYrAveTotWetDaysCentYr_4","fiveYrAveTotWetDaysCentYr_5","fiveYrAveTotWetDaysCentYr_6","fiveYrAveTotWetDaysCentYr_7","fiveYrAveTotWetDaysCentYr_8","fiveYrAveTotWetDaysCentYr_9","fiveYrAveTotWetDaysCentYr_10","fiveYrAveTotWetDaysCentYr_11","fiveYrAveTotWetDaysCentYr_12","fiveYrAveTotWetDaysCentYr_13","fiveYrAveTotWetDaysCentYr_14","fiveYrAveTotWetDaysCentYr_15","fiveYrAveTotWetDaysCentYr_16","fiveYrAveTotWetDaysCentYr_17","fiveYrAveTotWetDaysCentYr_18","fiveYrAveTotWetDaysCentYr_19"
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1970,63.7079824854148,47.6263184494828,44.2332404096199,58.465257767186,64.8748373609601,75.2570709922097,98.3234711306023,86.257708198085,83.4535126657197,65.7037375213161,49.8085179519653,35.0512353018558,51.7327239007661,33.4118412364613,77.8943501547611,95.5135236659195,84.0179232198542,65.8026343744451,68.8540190771854,33.4838393182466,19.4992718159069,28.8472606924808,38.4991726603652,46.0795759963989,36.8829263039791,54.1376856786555,59.4149798907656,79.4508822065411,92.8224381660693,103.408204253226,116.549269986008,121.17426131971
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2000,102.558112141773,47.6263184494828,102.220506761724,86.6881720976396,111.95510182005,85.8426713943481,74.1482533032966,91.1598177880952,119.083519162265,122.347502424067,128.229385918126,137.491547409982,133.085713663968,116.402106070085,76.8560105872877,82.2536519645922,83.5787028942686,74.0319543295196,56.75142793482,78.0107051340739,74.0008039694121,82.0905047110355,66.5651061699607,90.9388200517134,116.415773547779,133.510760903792,118.502814294064,133.052355703874,135.556183031256,109.76357933738,85.1057318404227,86.6467537203702
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2030,80.7412622488388,47.6263184494828,76.5885846733324,55.369758159753,50.9413117218018,48.4607018649939,54.64618828629,97.3814163358284,109.110694103819,113.920131429036,140.044255562985,122.782730672432,90.7649272791545,91.4600195347179,99.2375613750111,68.3494719800082,70.6296501032511,67.2016110784357,82.624448074572,53.497389532147,69.2593298386083,79.9383750869289,92.9831233180653,76.2440608446526,93.3525042736169,85.242772584395,91.241725693905,84.0988298196504,84.4111079684171,73.4986751614195,111.042425256209,115.303763762965
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2060,109.645092003562,47.6263184494828,121.614753540501,137.744748334018,159.696164205147,135.326570292386,132.578853676536,147.634065075499,137.973657233498,134.416142783887,114.394299107176,101.303964885365,64.4994536671494,55.8947087224325,69.8381735587842,71.9450091309981,93.4660549730243,120.369416711981,113.160599884264,114.035472668734,124.497761484782,134.491203496528,129.600832386595,127.902255107995,100.994158059322,112.922962636081,82.1167701582475,69.8239496762825,77.9294452262647,78.8904407454982,64.4258101896806,87.0513488018152
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1970,62.2689423275957,47.9886448203,42.9294700449163,56.5962057518237,62.9041017509229,72.938406420621,96.0630451317989,84.0551572730324,81.9031529640429,64.1100357009425,48.7654647260724,34.0515336227417,50.6028343108206,32.4992837570653,76.6922000757853,93.6881739078868,82.3953101811264,64.5131105006825,67.50662191102,32.6145776448105,19.2243140700369,28.2104437371456,37.5873321463845,45.167588595766,35.8983890232895,53.0373207612471,58.3286923067498,77.929474177505,91.0114946007006,101.394349769823,114.216609402281,118.682320171703
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2000,99.3459452729273,47.9886448203,99.8882797206532,84.471650316643,109.100861547066,83.2057785681522,71.8879649283669,88.740076601433,116.678245573333,120.753894112327,126.288050775239,135.116046888178,130.869181850318,113.736273414149,74.3059885001905,79.9933194120002,71.6357039931326,69.7888408718687,108.394511152325,122.359256290089,159.23920658574,163.410178923173,146.325921338399,110.958115041328,104.609723670266,60.4527484419852,54.1861621556138,69.8302593115604,48.2806977532127,64.9459475176262,66.3446011722449,110.211413077152
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2030,112.293688517098,47.9886448203,100.235455487569,100.708585779595,119.285561808962,137.276024351409,137.305102185336,151.992582673738,169.485790033051,152.904795682503,140.824024247834,107.705774570812,102.688866780599,110.58723415028,100.703250018033,118.479568634033,107.472701891119,96.7263411146222,69.9108857079708,57.6132417239565,42.0962308294123,65.7664483064594,69.5457417551676,139.944328563575,137.910053713249,139.826365448923,139.711944113067,138.484354001825,90.7071813409979,105.345228155887,86.0866139510184,73.2259640468251
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2060,110.476812035917,47.9886448203,89.7345857758956,87.0266672932018,83.0850333265825,95.4420290525032,88.5486780548096,103.945089730927,125.947599117395,133.799274273497,132.734094271804,123.46486936627,106.816842057199,78.9187111270789,93.9433396772905,92.7803079547304,126.677396892201,115.029507848566,126.59994927493,105.222991563046,130.635819702148,146.191699751652,144.650483133721,128.178616847414,122.619488899925,98.9100608317057,64.6720194718332,89.7727539085619,92.7186290856564,124.190744475162,158.171069021514,153.083272241535
"mtsunapeeNH_100km_shp","shp","rcp45","CCSM4",1970,79.4830904213106,47.233229548252,22.4990002545443,24.8470816907016,22.1042947399255,57.6591082382202,48.817087428931,47.1413723419652,60.8668914702444,60.5822367882006,48.410298426079,75.4858185172804,75.4129903481223,72.393834325617,87.6537936794397,85.9961838230942,80.3169089970444,110.114325385816,103.081426832026,106.140052000104,97.0158502971765,83.6992535562226,66.3976720717459,61.1847424709436,66.7492376084761,72.8079613055605,86.3817528880726,123.26476435459,156.395686724114,133.668927711718,127.422584475893,102.296085541465
"mtsunapeeNH_100km_shp","shp","rcp45","CCSM4",2000,97.3376986628831,47.233229548252,81.8733019834576,74.5268629883275,69.7708023360281,75.8538001031587,87.6486483383179,87.8282345349861,70.6666633247607,78.9975060757724,82.79798100327,75.6271383077448,70.2041755699389,73.3732569931493,93.4554286078251,96.0789226277669,149.860227039222,129.792275946646,126.06714317553,139.998930111509,114.090838982553,56.0793336949204,59.5002501065803,64.7023321822195,65.5475796450991,122.440358212789,128.287227736964,156.193165694728,179.576369410428,136.255945201065,104.708222826177,114.221260964365
