"county","FIPS","rcp","model","X2yr","X5yr","X10yr","X25yr","X50yr","X100yr"
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.20214245273287,1.21850163695589,1.19663773088895,1.1319384455554,1.06136005479254,0.977821874842582
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.20401287985421,1.2218278471003,1.20530949179304,1.14965707809521,1.08598996685816,1.0087160126241
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.18836526694685,1.19561208771075,1.18407443471032,1.14903233587768,1.10936514482637,1.06072786877901
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.16991441430617,1.17058699201429,1.16412653876112,1.14669090961158,1.12719417458366,1.10309946607325
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.1471435561443,1.14496776248486,1.14106205091424,1.13294175755633,1.12471416588402,1.11497923461472
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.13675218967541,1.13849290442603,1.13684137079106,1.13070800708979,1.12315199126421,1.1133774597765
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.12199410084138,1.13296637082015,1.13521870958021,1.13043066521484,1.12103271532254,1.10715858611001
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.12324132134536,1.14814586013623,1.15441101809482,1.14653778745373,1.12868149888522,1.10182983329571
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.13489273158125,1.18151727188184,1.19591691549077,1.18809617098857,1.16251610108671,1.12238410074689
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.14038972055205,1.20234819598712,1.22353461593848,1.21960600705552,1.19363687391179,1.15080915896835
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.13687504944932,1.19456134017067,1.20826826843728,1.19156253078672,1.15532097654267,1.10276278546314
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.15007214013151,1.20164064146007,1.20195831599475,1.16044055431981,1.10278726030945,1.02873963304544
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.14468963206658,1.18265369973424,1.17006990840497,1.11031981551406,1.03952192947957,0.953993965285001
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.14239704879638,1.16602814287914,1.14337995980183,1.07140891261171,0.992660036629228,0.900714648936244
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.11471661187375,1.10605348005288,1.07638256328037,1.01420142635554,0.954006450767633,0.886333496273312
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.0973528719214,1.08356128579871,1.05920793190519,1.01319845132518,0.970199110378704,0.922093414859301
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.08004419851172,1.0693879043279,1.04495612699541,0.99700105118145,0.95162696640371,0.900689433704947
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.0790944747524,1.06194488879594,1.03466801932107,0.985085214332501,0.939824523867377,0.889889724103799
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.0788835710356,1.05663721421135,1.02606905666974,0.972747482780721,0.925129605601782,0.873244438139476
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.08463616891126,1.04806391919614,1.00659754822443,0.93945337013655,0.882244913456183,0.821787249747143
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.10177386942875,1.06334963253398,1.01737105608976,0.942551110670898,0.879046550647515,0.812333005493898
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.11132716866322,1.08055731432354,1.03982272569494,0.970940039993746,0.910999895447493,0.846973658522277
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.12578899378203,1.09940700052276,1.05885770775661,0.98725094081708,0.923594450800547,0.854946225810337
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.1395457746185,1.10406939109341,1.0600181306466,0.986250455794735,0.922227301578649,0.853945149058561
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.14205633403942,1.10491310672529,1.05875663809392,0.981900022735946,0.915602215836648,0.845259084793281
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.1387508311181,1.10620140514542,1.06064724589954,0.981921449162007,0.912784107928312,0.838891362976987
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.13153931760658,1.10164610384208,1.0645198629967,1.00186369983789,0.946935630846752,0.887744728187712
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.10896181238023,1.08655050591184,1.0616905456549,1.0208378980417,0.985114221287369,0.946263323554671
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.11157741836887,1.09459883015671,1.07923953466034,1.0559117681282,1.03628747336433,1.01527162954625
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.12015080665774,1.10918036213389,1.10233761645662,1.09426378068074,1.08871325543331,1.08357690131694
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.18070724292766,1.17402434098183,1.15242157533801,1.10565620640826,1.05885256457268,1.00473521684562
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.18626057817715,1.19286545867341,1.17698637531122,1.13290622079,1.08484519878229,1.02721289769347
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.17827835551497,1.19350554024808,1.18295504777233,1.14373382341057,1.09746459052308,1.04010944520433
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.17619451009152,1.18016048812723,1.16896089320126,1.13674776488885,1.10051851030755,1.05611783417309
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1.14533167958985,1.13342793995549,1.12616182887115,1.11872523645713,1.11493738081562,1.1128196802324
