"word","count"
"Economic Considerations and Cost-Benefit Analysis",80
"Perception and Personal Judgment",43
"Protection and Preparedness",39
"Rainfall and Flood Risk Assessment",38
"Data Interpretation and Understanding",32
"No Reason",16
