"word","count"
"Economic Considerations and Cost-Benefit Analysis",132
"Perception and Personal Judgment",94
"Protection and Preparedness",82
"Data Interpretation and Understanding",61
"No Reason",53
"Rainfall and Flood Risk Assessment",49
