"word","count"
"Data Interpretation and Understanding",12
"Economic Considerations and Cost-Benefit Analysis",10
"Perception and Personal Judgment",6
"Protection and Preparedness",6
"Rainfall and Flood Risk Assessment",4
"No Reason",1
