"word","count"
"Protection and Preparedness",39
"Economic Considerations and Cost-Benefit Analysis",37
"Perception and Personal Judgment",37
"Data Interpretation and Understanding",26
"No Reason",26
"Rainfall and Flood Risk Assessment",21
