"word","count"
"Economic Considerations and Cost-Benefit Analysis",13
"Protection and Preparedness",12
"Rainfall and Flood Risk Assessment",12
"Data Interpretation and Understanding",9
"No Reason",6
"Perception and Personal Judgment",6
