"word","count"
"Economic Considerations and Cost-Benefit Analysis",60
"Perception and Personal Judgment",28
"Data Interpretation and Understanding",16
"Protection and Preparedness",14
"Rainfall and Flood Risk Assessment",13
"No Reason",9
