"word","count"
"Economic Considerations and Cost-Benefit Analysis",37
"Data Interpretation and Understanding",24
"Perception and Personal Judgment",24
"Protection and Preparedness",23
"No Reason",17
"Rainfall and Flood Risk Assessment",16
