"word","count"
"Economic Considerations and Cost-Benefit Analysis",198
"Protection and Preparedness",135
"Perception and Personal Judgment",126
"Data Interpretation and Understanding",95
"Rainfall and Flood Risk Assessment",88
"No Reason",48
