"word","count"
"Economic Considerations and Cost-Benefit Analysis",61
"Perception and Personal Judgment",41
"Protection and Preparedness",38
"Data Interpretation and Understanding",35
"No Reason",24
"Rainfall and Flood Risk Assessment",24
