"word","count"
"Economic Considerations and Cost-Benefit Analysis",90
"Perception and Personal Judgment",47
"Data Interpretation and Understanding",42
"Protection and Preparedness",41
"Rainfall and Flood Risk Assessment",31
"No Reason",27
