"word","count"
"Economic Considerations and Cost-Benefit Analysis",108
"Perception and Personal Judgment",103
"Protection and Preparedness",86
"Rainfall and Flood Risk Assessment",63
"Data Interpretation and Understanding",61
"No Reason",42
