"word","count"
"Economic Considerations and Cost-Benefit Analysis",17
"Rainfall and Flood Risk Assessment",17
"Data Interpretation and Understanding",8
"Protection and Preparedness",6
"No Reason",3
"Perception and Personal Judgment",2
