"word","count"
"Economic Considerations and Cost-Benefit Analysis",131
"Perception and Personal Judgment",94
"Protection and Preparedness",83
"Rainfall and Flood Risk Assessment",61
"Data Interpretation and Understanding",60
"No Reason",60
