"county","FIPS","centralDecade","aveWetDays","threshold","fiveYrAveTot45vmm3333214975385WetDaysCentYr_-10","fiveYrAveTot45vmm3333214975385WetDaysCentYr_-9","fiveYrAveTot45vmm3333214975385WetDaysCentYr_-8","fiveYrAveTot45vmm3333214975385WetDaysCentYr_-7","fiveYrAveTot45vmm3333214975385WetDaysCentYr_-6","fiveYrAveTot45vmm3333214975385WetDaysCentYr_-5","fiveYrAveTot45vmm3333214975385WetDaysCentYr_-4","fiveYrAveTot45vmm3333214975385WetDaysCentYr_-3","fiveYrAveTot45vmm3333214975385WetDaysCentYr_-2","fiveYrAveTot45vmm3333214975385WetDaysCentYr_-1","fiveYrAveTot45vmm3333214975385WetDaysCentYr_0","fiveYrAveTot45vmm3333214975385WetDaysCentYr_1","fiveYrAveTot45vmm3333214975385WetDaysCentYr_2","fiveYrAveTot45vmm3333214975385WetDaysCentYr_3","fiveYrAveTot45vmm3333214975385WetDaysCentYr_4","fiveYrAveTot45vmm3333214975385WetDaysCentYr_5","fiveYrAveTot45vmm3333214975385WetDaysCentYr_6","fiveYrAveTot45vmm3333214975385WetDaysCentYr_7","fiveYrAveTot45vmm3333214975385WetDaysCentYr_8","fiveYrAveTot45vmm3333214975385WetDaysCentYr_9","fiveYrAveTot45vmm3333214975385WetDaysCentYr_10","fiveYrAveTot45vmm3333214975385WetDaysCentYr_11","fiveYrAveTot45vmm3333214975385WetDaysCentYr_12","fiveYrAveTot45vmm3333214975385WetDaysCentYr_13","fiveYrAveTot45vmm3333214975385WetDaysCentYr_14","fiveYrAveTot45vmm3333214975385WetDaysCentYr_15","fiveYrAveTot45vmm3333214975385WetDaysCentYr_16","fiveYrAveTot45vmm3333214975385WetDaysCentYr_17","fiveYrAveTot45vmm3333214975385WetDaysCentYr_18","fiveYrAveTot45vmm3333214975385WetDaysCentYr_19"
"mtsunapeeNH_200km_shp","shp",1970,89.94013007182,45.3333214975385,68.8415959130293,70.6239386822443,77.8044968617037,72.7429323895173,85.1402594131494,87.0541902359177,76.8423742054393,90.2242216844978,108.67936319825,102.16238207937,108.784198118706,140.837106909392,149.197838059012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mtsunapeeNH_200km_shp","shp",2000,120.843511532937,45.3333214975385,83.2665880533134,72.2212264165938,77.206462255214,69.1089150839632,80.1915722915961,87.245534558866,99.3156446348946,121.565849029193,126.859040861909,104.696336496401,102.932696555995,102.905927686271,83.48040883856,105.933199729859,134.158569223476,144.50515727577,165.264371095214,166.221949707787,160.936674529801,166.10686319789,175.57960691422,155.590943395867,164.530911950645,144.527295605342,106.880345912849,108.51388364528,114.747515726389,112.055487416225,107.121753146214,115.767030278842
"mtsunapeeNH_200km_shp","shp",2030,79.6054245570921,45.3333214975385,107.222916675564,99.6805031532012,79.6054245570921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
