"county","FIPS","centralDecade","aveWetDays","threshold","fiveYrAveTot_vmm44p32WetDaysCentYr_-10","fiveYrAveTot_vmm44p32WetDaysCentYr_-9","fiveYrAveTot_vmm44p32WetDaysCentYr_-8","fiveYrAveTot_vmm44p32WetDaysCentYr_-7","fiveYrAveTot_vmm44p32WetDaysCentYr_-6","fiveYrAveTot_vmm44p32WetDaysCentYr_-5","fiveYrAveTot_vmm44p32WetDaysCentYr_-4","fiveYrAveTot_vmm44p32WetDaysCentYr_-3","fiveYrAveTot_vmm44p32WetDaysCentYr_-2","fiveYrAveTot_vmm44p32WetDaysCentYr_-1","fiveYrAveTot_vmm44p32WetDaysCentYr_0","fiveYrAveTot_vmm44p32WetDaysCentYr_1","fiveYrAveTot_vmm44p32WetDaysCentYr_2","fiveYrAveTot_vmm44p32WetDaysCentYr_3","fiveYrAveTot_vmm44p32WetDaysCentYr_4","fiveYrAveTot_vmm44p32WetDaysCentYr_5","fiveYrAveTot_vmm44p32WetDaysCentYr_6","fiveYrAveTot_vmm44p32WetDaysCentYr_7","fiveYrAveTot_vmm44p32WetDaysCentYr_8","fiveYrAveTot_vmm44p32WetDaysCentYr_9","fiveYrAveTot_vmm44p32WetDaysCentYr_10","fiveYrAveTot_vmm44p32WetDaysCentYr_11","fiveYrAveTot_vmm44p32WetDaysCentYr_12","fiveYrAveTot_vmm44p32WetDaysCentYr_13","fiveYrAveTot_vmm44p32WetDaysCentYr_14","fiveYrAveTot_vmm44p32WetDaysCentYr_15","fiveYrAveTot_vmm44p32WetDaysCentYr_16","fiveYrAveTot_vmm44p32WetDaysCentYr_17","fiveYrAveTot_vmm44p32WetDaysCentYr_18","fiveYrAveTot_vmm44p32WetDaysCentYr_19"
"mtsunapeeNH_100km_shp","shp",1970,86.3102066286996,44.3179571637125,48.806636390686,53.4170303471883,67.0974848995787,60.1768788216331,77.7954848850135,87.6223030402444,78.319696967385,92.1216060499711,112.086303018512,106.798939366774,114.471616167011,149.542878786723,153.316818167947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mtsunapeeNH_100km_shp","shp",2000,117.347525269094,44.3179571637125,85.5209696752375,73.3612424272479,78.9340908859715,69.7904545188673,79.3348787538933,85.6649999745687,87.8718181702585,104.945787862142,100.810696965998,83.0801818443067,77.8577878963586,89.6283636393692,70.7266061019897,106.846000051787,139.678727326827,150.876787918553,171.256666717529,179.510030361522,157.590393981934,150.718454593312,167.409939482718,150.462363715894,162.895272806341,153.246939470696,117.856848539873,119.499545448766,116.233424249129,107.073363596598,101.427848456412,110.474848442367
"mtsunapeeNH_100km_shp","shp",2030,73.9048485611424,44.3179571637125,96.0968181822035,97.2951514822064,73.9048485611424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
