"county","FIPS","centralDecade","aveWetDays","fiveYrAveWetDaysCentYr_-10","fiveYrAveWetDaysCentYr_-9","fiveYrAveWetDaysCentYr_-8","fiveYrAveWetDaysCentYr_-7","fiveYrAveWetDaysCentYr_-6","fiveYrAveWetDaysCentYr_-5","fiveYrAveWetDaysCentYr_-4","fiveYrAveWetDaysCentYr_-3","fiveYrAveWetDaysCentYr_-2","fiveYrAveWetDaysCentYr_-1","fiveYrAveWetDaysCentYr_0","fiveYrAveWetDaysCentYr_1","fiveYrAveWetDaysCentYr_2","fiveYrAveWetDaysCentYr_3","fiveYrAveWetDaysCentYr_4","fiveYrAveWetDaysCentYr_5","fiveYrAveWetDaysCentYr_6","fiveYrAveWetDaysCentYr_7","fiveYrAveWetDaysCentYr_8","fiveYrAveWetDaysCentYr_9","fiveYrAveWetDaysCentYr_10","fiveYrAveWetDaysCentYr_11","fiveYrAveWetDaysCentYr_12","fiveYrAveWetDaysCentYr_13","fiveYrAveWetDaysCentYr_14","fiveYrAveWetDaysCentYr_15","fiveYrAveWetDaysCentYr_16","fiveYrAveWetDaysCentYr_17","fiveYrAveWetDaysCentYr_18","fiveYrAveWetDaysCentYr_19"
"mtsunapeeNH_100km_shp","shp",1970,162.515013774105,159.276060606061,160.291212121212,162.871515151515,162.323333333333,160.575151515152,161.356666666667,161.100606060606,163.840909090909,161.99303030303,164.466287878788,164.662626262626,162.713636363636,154.10303030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mtsunapeeNH_100km_shp","shp",2000,150.477171717172,163.518484848485,166.270606060606,164.687272727273,163.403333333333,171.806363636364,173.899090909091,174.692424242424,173.224545454545,171.377878787879,157.646666666667,155.500303030303,149.599090909091,146.81303030303,147.395454545455,150.72,147.919393939394,150.587272727273,150.772727272727,143.263333333333,144.572424242424,141.220303030303,132.921515151515,130.274545454545,130.78,127.159090909091,128.7,133.078484848485,137.090909090909,137.757878787879,139.065909090909
"mtsunapeeNH_100km_shp","shp",2030,126.898484848485,139.954545454545,137.013636363636,126.898484848485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
