"county","FIPS","rcp","model","period","thres"
"wascoCA_100km_shp","shp","rcp85","IPSL-CM5B-LR","2020-2049",19.778787868279
"wascoCA_100km_shp","shp","rcp85","IPSL-CM5B-LR","2050-2079",20.2332840750894
"wascoCA_100km_shp","shp","rcp45","MIROC-ESM-CHEM","1990-2019",18.0781155764192
"wascoCA_100km_shp","shp","rcp45","MIROC-ESM-CHEM","2020-2049",19.9792654419866
"wascoCA_100km_shp","shp","rcp45","MIROC-ESM-CHEM","2050-2079",19.2911101900902
"wascoCA_100km_shp","shp","rcp85","MIROC-ESM-CHEM","1990-2019",18.4070904109296
"wascoCA_100km_shp","shp","rcp85","MIROC-ESM-CHEM","2020-2049",19.183775052872
"wascoCA_100km_shp","shp","rcp85","MIROC-ESM-CHEM","2050-2079",18.8161314478905
"wascoCA_100km_shp","shp","rcp45","MIROC-ESM","1990-2019",20.5402824245248
"wascoCA_100km_shp","shp","rcp45","MIROC-ESM","2020-2049",20.4164713326464
"wascoCA_100km_shp","shp","rcp45","MIROC-ESM","2050-2079",17.4705697561136
"wascoCA_100km_shp","shp","rcp85","MIROC-ESM","1990-2019",18.936900484092
"wascoCA_100km_shp","shp","rcp85","MIROC-ESM","2020-2049",18.875412298798
"wascoCA_100km_shp","shp","rcp85","MIROC-ESM","2050-2079",17.6821148555651
"wascoCA_100km_shp","shp","rcp45","MIROC5","1990-2019",18.2366173215209
"wascoCA_100km_shp","shp","rcp45","MIROC5","2020-2049",18.3775080090622
"wascoCA_100km_shp","shp","rcp45","MIROC5","2050-2079",18.5078754715419
"wascoCA_100km_shp","shp","rcp85","MIROC5","1990-2019",18.3418228554212
"wascoCA_100km_shp","shp","rcp85","MIROC5","2020-2049",18.7213467941656
"wascoCA_100km_shp","shp","rcp85","MIROC5","2050-2079",16.5202671300717
"wascoCA_100km_shp","shp","rcp45","MRI-CGCM3","1990-2019",18.8725426892977
"wascoCA_100km_shp","shp","rcp45","MRI-CGCM3","2020-2049",18.9002008770513
"wascoCA_100km_shp","shp","rcp45","MRI-CGCM3","2050-2079",20.9251742198938
"wascoCA_100km_shp","shp","rcp85","MRI-CGCM3","1990-2019",18.0498494186907
"wascoCA_100km_shp","shp","rcp85","MRI-CGCM3","2020-2049",20.4713953953557
"wascoCA_100km_shp","shp","rcp85","MRI-CGCM3","2050-2079",20.7060104488259
"wascoCA_100km_shp","shp","rcp45","NorESM1-M","1990-2019",18.2191132910222
"wascoCA_100km_shp","shp","rcp45","NorESM1-M","2020-2049",19.719433388259
"wascoCA_100km_shp","shp","rcp45","NorESM1-M","2050-2079",18.1947457470163
"wascoCA_100km_shp","shp","rcp85","NorESM1-M","1990-2019",17.9716321993775
"wascoCA_100km_shp","shp","rcp85","NorESM1-M","2020-2049",18.3117816230634
"wascoCA_100km_shp","shp","rcp85","NorESM1-M","2050-2079",18.2161037497902
"wascoCA_100km_shp","shp","rcp45","bcc-csm1-1-m","1990-2019",17.1456158625421
"wascoCA_100km_shp","shp","rcp45","bcc-csm1-1-m","2020-2049",19.2362838550438
"wascoCA_100km_shp","shp","rcp45","bcc-csm1-1-m","2050-2079",20.7059004228171
"wascoCA_100km_shp","shp","rcp85","bcc-csm1-1-m","1990-2019",18.2775008278361
"wascoCA_100km_shp","shp","rcp85","bcc-csm1-1-m","2020-2049",20.8439639333825
"wascoCA_100km_shp","shp","rcp85","bcc-csm1-1-m","2050-2079",21.2848315103768
"wascoCA_100km_shp","shp","rcp45","bcc-csm1-1","1990-2019",18.2129982438379
"wascoCA_100km_shp","shp","rcp45","bcc-csm1-1","2020-2049",20.2520889127926
"wascoCA_100km_shp","shp","rcp45","bcc-csm1-1","2050-2079",19.8714387799401
"wascoCA_100km_shp","shp","rcp85","bcc-csm1-1","1990-2019",17.9379879859968
"wascoCA_100km_shp","shp","rcp85","bcc-csm1-1","2020-2049",21.6301209080704
"wascoCA_100km_shp","shp","rcp85","bcc-csm1-1","2050-2079",20.8003995835682
"wascoCA_100km_shp","shp","rcp45","inmcm4","1990-2019",18.228842317923
"wascoCA_100km_shp","shp","rcp45","inmcm4","2020-2049",17.8192396095305
"wascoCA_100km_shp","shp","rcp45","inmcm4","2050-2079",21.3501459435726
"wascoCA_100km_shp","shp","rcp85","inmcm4","1990-2019",17.7758329720592
"wascoCA_100km_shp","shp","rcp85","inmcm4","2020-2049",18.6332427630665
"wascoCA_100km_shp","shp","rcp85","inmcm4","2050-2079",22.3838228128775
