"county","FIPS","rcp","model","X2yr","X5yr","X10yr","X25yr","X50yr","X100yr"
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.18413968004759,1.14802707941848,1.11745862528773,1.07276482496957,1.03654359261988,0.999158208652516
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.18500866521206,1.16355857813251,1.12743571973966,1.0611028912596,1.00060782950316,0.93430096457785
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.15714788985236,1.15089910417361,1.11631130906215,1.04369700729262,0.974336422712452,0.897320529013718
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.14389952954758,1.12771628721329,1.0949035522361,1.03350674192702,0.977275502829561,0.915504431381338
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.19013489497154,1.17055071220752,1.13348845446319,1.06551765466993,1.00406044252799,0.937128802528983
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.2454459428204,1.23019381854427,1.18699163807121,1.10549951778077,1.03199347865172,0.952715342289384
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.24646461132735,1.21978650705695,1.16995833345576,1.08374895905781,1.00963336016475,0.931846324618595
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.22067182113966,1.22692202519887,1.200808180986,1.14090335918858,1.08193733205223,1.01505089682733
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.21778954743516,1.28535906590404,1.29987804472093,1.28531205728857,1.25326067326825,1.20645539918957
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.19333998551785,1.25696051327346,1.28502417675638,1.30326867612413,1.30453247311799,1.2961282089724
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.17531473925943,1.20528868424854,1.213385139336,1.21112543539253,1.20133235031651,1.18566388327546
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.14176935370013,1.14168270221977,1.13400893173146,1.11699856619808,1.09994826332816,1.07996214534604
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.16016597885157,1.13368418846596,1.10418846242385,1.05664178497893,1.01584474230929,0.97209165158103
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.13484156577769,1.09894665742411,1.08167150325057,1.06549302748351,1.05680276590707,1.05048697579634
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.13255496589314,1.10871764400961,1.10257509545894,1.10271024540543,1.10733354081315,1.11506985016356
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.16406663434785,1.15494684038704,1.15213727210744,1.15111569309936,1.15174676232874,1.15329660284576
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.17787369529582,1.17067934207218,1.1808081807598,1.20658113291994,1.23367238701996,1.26657552993831
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.14645085595151,1.14768391313536,1.16843719563323,1.21436144571781,1.26173237763834,1.31965946240154
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.12787918257023,1.14768688981109,1.17708471621334,1.23127154882952,1.28333719420911,1.34492893599007
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.1477292855472,1.17912670227975,1.20947746747785,1.25771492232028,1.30027054028096,1.3480469319392
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.12990655539838,1.16815802770133,1.2035013219569,1.25885746277769,1.30740169887237,1.36179840748975
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.11510608546834,1.15380117194583,1.18804652789987,1.24058504610803,1.28603009432514,1.33648353297118
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.1555249804058,1.19205387532278,1.2193553985153,1.25715451958144,1.28745933172709,1.31936758817401
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.16653715840076,1.18705983254312,1.20846450047981,1.24355417250815,1.27499414366503,1.31050892996504
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.19048439475072,1.21439126060805,1.21946919054879,1.21561289132255,1.20647773822133,1.19298923647798
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.15408238783278,1.1724530347341,1.18153396386905,1.18991829733897,1.19415686875849,1.19688700084726
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.13301729467143,1.13911248318608,1.1538002680814,1.18294268049607,1.21160884247802,1.24569647025492
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.15974622701939,1.15958992251121,1.14027220396245,1.09448835312036,1.04729738894694,0.992042388353006
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.18635533352763,1.18516232443078,1.15218045605281,1.07757301978044,1.00399394156114,0.921312067373386
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.17549624053608,1.16606254668153,1.1336473241411,1.0662096756445,1.00144534714108,0.929140451041385
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.20364569206411,1.19397995553091,1.15026657105695,1.06093818031651,0.977428366427154,0.886441951773202
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.22708221048704,1.21915622496172,1.18061288714368,1.10188033587832,1.02794939899305,0.946658983410534
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.25548400092816,1.24697097009097,1.20684770960866,1.12675191859139,1.05258565720007,0.971568325816905
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.24179316163926,1.24278836882741,1.20458353316088,1.12457231477018,1.04967393873442,0.967651734313773
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1.2249423220816,1.26862259404929,1.2618159331049,1.21551491674874,1.15806462527556,1.08609174412067
