"county","FIPS","rcp","model","centralDecade","aveWetDays","threshold","fiveYrAveTotWetDaysCentYr_.10","fiveYrAveTotWetDaysCentYr_.9","fiveYrAveTotWetDaysCentYr_.8","fiveYrAveTotWetDaysCentYr_.7","fiveYrAveTotWetDaysCentYr_.6","fiveYrAveTotWetDaysCentYr_.5","fiveYrAveTotWetDaysCentYr_.4","fiveYrAveTotWetDaysCentYr_.3","fiveYrAveTotWetDaysCentYr_.2","fiveYrAveTotWetDaysCentYr_.1","fiveYrAveTotWetDaysCentYr_0","fiveYrAveTotWetDaysCentYr_1","fiveYrAveTotWetDaysCentYr_2","fiveYrAveTotWetDaysCentYr_3","fiveYrAveTotWetDaysCentYr_4","fiveYrAveTotWetDaysCentYr_5","fiveYrAveTotWetDaysCentYr_6","fiveYrAveTotWetDaysCentYr_7","fiveYrAveTotWetDaysCentYr_8","fiveYrAveTotWetDaysCentYr_9","fiveYrAveTotWetDaysCentYr_10","fiveYrAveTotWetDaysCentYr_11","fiveYrAveTotWetDaysCentYr_12","fiveYrAveTotWetDaysCentYr_13","fiveYrAveTotWetDaysCentYr_14","fiveYrAveTotWetDaysCentYr_15","fiveYrAveTotWetDaysCentYr_16","fiveYrAveTotWetDaysCentYr_17","fiveYrAveTotWetDaysCentYr_18","fiveYrAveTotWetDaysCentYr_19"
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1970,81.6317371611162,44.0267745235038,60.6989822838523,79.8807848751184,87.0571853314024,99.3188131286159,122.030421557571,108.574123418403,100.501720923221,83.3292104813547,62.0445087536899,46.5293323539965,66.1702708042029,44.971430384318,93.5107666639848,120.100475251169,106.470675626813,83.2856218777281,87.981398748918,46.7531237769849,25.0850064560861,37.8251295933579,50.5285543360855,57.6067803608288,50.6522062243837,69.8128089974143,77.1072589284723,101.240096373125,117.942415437409,128.487930488586,141.964188530662,145.144510630983
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2000,125.326691474722,44.0267745235038,124.014151687622,109.222112842907,139.912938795379,114.250898428252,101.657085484591,121.059970819878,145.708754148772,142.544894038114,151.805776105939,165.28970122713,159.85862849958,148.177700208028,108.016905051723,109.422032572428,106.041383273963,92.0744660568237,69.0355234735662,96.0808038410996,94.4747301749027,104.274676211964,86.4880363614631,110.823301636667,137.504419569536,153.405314939094,137.775843849182,155.346935936899,155.752989615238,127.900187552481,104.86939066569,104.807406117988
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2030,100.293854771816,44.0267745235038,94.3320864706328,76.4865819052494,68.6454277154171,63.2572428304499,76.2718028987538,119.386222649777,131.435746671503,133.656583160632,160.013725920012,135.113030327306,101.310743098403,103.627104007837,117.264870067943,84.3946145953554,87.8738527321093,88.9442874018351,104.468537046259,70.3894967142741,85.5117711454449,97.5274755836256,114.78374694593,98.0639805626147,116.403989438144,109.563927248174,117.19186810349,105.514607216806,104.941853186867,95.4027615344886,142.376813475869,149.81623772939
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2060,136.365828199098,44.0267745235038,154.290028084264,168.851131918936,190.077418278781,159.317211318739,152.981314586293,170.286395517985,159.945661592195,161.221923922914,138.811715589581,127.657139128483,87.2697361339222,82.3705788259795,100.261395581563,102.912790795529,123.125107120167,151.815688058102,145.008543835264,138.923400533272,148.69425780672,157.455107167562,158.723899820501,158.556597999804,133.055481990467,147.468944899819,115.561365875475,94.4877090361624,95.3199230564002,94.655348887588,82.3554522785996,111.81837221897
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1970,77.7842249679565,44.7284762228561,57.4591016515096,75.6597933601611,82.5134267090306,94.5455723282785,117.231020545959,103.868753850532,96.8981322479248,79.605290630225,59.1679049023715,43.8534880297112,62.9028584936893,42.2159090296427,90.2429798808242,114.935974252874,101.749910739552,79.5731154782844,83.9601506458629,43.7006422759547,23.6740433559996,35.5934844670151,47.8933895504113,55.2668832882968,47.7075192908085,66.2771602850249,72.9536759948731,96.3058663466482,112.282060289094,122.935491020896,136.613283652103,140.57362901861
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2000,121.850801380235,44.7284762228561,119.659885212291,104.80094819618,134.535208722895,108.657088762919,96.1570257695516,114.981387044733,140.100514813047,138.120989228451,146.587999294165,159.265157427932,154.264284291123,141.305324412259,101.158369760224,103.639248439904,91.7033035567313,88.2681095863111,132.070506451925,146.697755222899,189.070358472882,192.413925309615,176.925730373498,132.109240842877,128.904539542921,80.2503591514356,75.2464718847564,88.4329013870702,65.4376456520774,81.687945804018,78.9843668874105,123.727446037061
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2030,135.598647714673,44.7284762228561,117.21344069163,118.173898594018,137.789538047097,161.992503577724,161.860250673005,173.174170568062,193.661070567044,178.796533050537,166.615078044082,137.437001740427,134.055941247651,141.217149777268,130.738334083557,146.667061347961,130.376603098783,117.229802592884,86.7995290132002,71.0932530744148,56.1085431578665,83.9347897570061,88.902405352737,163.057777233702,162.514411048889,165.764878677599,161.35576655648,159.922050039118,116.805824672815,132.659816983541,108.815399593006,102.613174088218
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2060,136.926152528127,44.7284762228561,125.890243490971,116.069404323462,109.572907007391,123.042868248911,112.161366207238,125.5429166343,148.855668070244,160.574537547718,158.922606453173,144.777144322251,127.138436198379,100.661166619966,112.717228941484,112.402997087421,146.119616493456,132.848631093574,153.264114419186,131.692433969902,160.456688219706,187.449787352591,184.151939345851,161.142844335383,155.544773833535,129.446009770018,91.0657651080507,115.392942731453,114.256640898965,151.455033868732,186.994107684511,178.503751909661
"mtsunapeeNH_100km_shp","shp","rcp45","CCSM4",1970,101.237625343053,43.7961877981725,40.1397546525435,44.4995690178149,42.450040212689,79.4068777454261,64.9010600939664,61.8262772970489,78.4126348865394,74.3357871708725,63.1507341084336,90.99601131786,90.6361016811024,84.6576141935406,105.920265731812,109.254697914124,108.570008739125,142.972418579333,136.244005192843,137.408980960268,121.36542322679,102.17814920252,84.5799997503107,79.408287784692,88.4129431418217,100.446707249266,111.257806216153,145.818832459883,187.312822160432,158.897734840855,148.230142587604,123.363059571006
"mtsunapeeNH_100km_shp","shp","rcp45","CCSM4",2000,119.180775421412,43.7961877981725,102.857748956391,88.9303977099332,82.0982710323912,87.0679082419656,100.870937178641,104.929085274899,88.0928958580711,97.6003044833559,100.991199617097,93.7937431901874,87.4532345419219,90.3194501090772,114.237852186723,118.509559475292,174.875548297998,156.008758735657,151.883529166019,166.766158295834,137.080579981948,75.5168149913441,76.1208306873206,84.44946634466,83.893112819556,150.341966801268,158.307087511005,193.62849431009,219.147303932652,170.488953710614,132.273561691515,145.844517687017
