"county","FIPS","rcp","model","centralDecade","aveWetDays","fiveYrAveTotWetDaysCentYr_.10","fiveYrAveTotWetDaysCentYr_.9","fiveYrAveTotWetDaysCentYr_.8","fiveYrAveTotWetDaysCentYr_.7","fiveYrAveTotWetDaysCentYr_.6","fiveYrAveTotWetDaysCentYr_.5","fiveYrAveTotWetDaysCentYr_.4","fiveYrAveTotWetDaysCentYr_.3","fiveYrAveTotWetDaysCentYr_.2","fiveYrAveTotWetDaysCentYr_.1","fiveYrAveTotWetDaysCentYr_0","fiveYrAveTotWetDaysCentYr_1","fiveYrAveTotWetDaysCentYr_2","fiveYrAveTotWetDaysCentYr_3","fiveYrAveTotWetDaysCentYr_4","fiveYrAveTotWetDaysCentYr_5","fiveYrAveTotWetDaysCentYr_6","fiveYrAveTotWetDaysCentYr_7","fiveYrAveTotWetDaysCentYr_8","fiveYrAveTotWetDaysCentYr_9","fiveYrAveTotWetDaysCentYr_10","fiveYrAveTotWetDaysCentYr_11","fiveYrAveTotWetDaysCentYr_12","fiveYrAveTotWetDaysCentYr_13","fiveYrAveTotWetDaysCentYr_14","fiveYrAveTotWetDaysCentYr_15","fiveYrAveTotWetDaysCentYr_16","fiveYrAveTotWetDaysCentYr_17","fiveYrAveTotWetDaysCentYr_18","fiveYrAveTotWetDaysCentYr_19"
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1970,1154.97623541443,1064.58400781934,1109.31080117788,1158.67885306789,1211.6182023552,1271.80433079014,1258.70175049303,1243.34914077141,1192.52955738203,1122.73603286108,1080.97604328968,1116.13633485136,1096.75066100807,1176.40993277523,1286.55080700906,1268.75711794407,1212.5018217341,1149.84661459288,1049.62732589366,951.636686467077,956.570009801984,1025.19025042495,1077.47670222831,1150.92224269377,1137.54978147437,1222.40156879379,1219.8044794914,1263.71327228306,1201.68950067399,1247.92275319436,1159.08084981557
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2000,1220.37978047672,1145.06440158807,1140.85286375147,1255.70549194395,1185.59443420225,1196.60392503787,1244.81203126641,1235.69128592799,1195.12982112229,1302.28896273799,1344.66251268258,1299.45512488681,1345.3356231027,1287.74093346936,1245.79723420748,1201.20928499544,1212.02399573498,1110.5728783867,1145.47266670547,1183.39967433421,1227.621483112,1180.09779161233,1235.45285376099,1246.86713453976,1219.43434445308,1196.12615882553,1238.94131314771,1206.73114375561,1191.3626350795,1210.22345021707,1252.91279198967
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2030,1256.78492934548,1223.61888096962,1234.24970392522,1215.01564732295,1188.68950637404,1188.9196425532,1263.81247167068,1309.90393175618,1286.16055552451,1312.23456265992,1242.38382966953,1146.82831372921,1113.34133634128,1163.61374973063,1147.74285322741,1194.90363231509,1231.6104416312,1281.28573538351,1266.7523969478,1293.07892166505,1314.46274319505,1358.67687900825,1339.25611230372,1341.13933816173,1314.06168925202,1299.64070936529,1269.99619782719,1283.75825318272,1268.02788838526,1275.89207557739,1269.13774146478
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2060,1241.15106622252,1294.22636631054,1205.70164164752,1217.79495065452,1205.76971137796,1218.75041792695,1237.53023934513,1277.99415127911,1296.64056969769,1264.86782139241,1227.084411015,1158.78299447921,1209.57254533001,1226.65073956393,1227.9102547117,1256.12655177194,1310.24588461406,1231.27990210415,1209.08123588693,1208.86507614962,1247.00191881397,1230.12871369039,1335.02920781905,1328.91860643988,1350.0284050499,1280.50899755757,1259.43544641499,1144.82623554031,1167.82029509217,1141.7685323942,1246.97930242263
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1970,1154.97623541443,1064.58400781934,1109.31080117788,1158.67885306789,1211.6182023552,1271.80433079014,1258.70175049303,1243.34914077141,1192.52955738203,1122.73603286108,1080.97604328968,1116.13633485136,1096.75066100807,1176.40993277523,1286.55080700906,1268.75711794407,1212.5018217341,1149.84661459288,1049.62732589366,951.636686467077,956.570009801984,1025.19025042495,1077.47670222831,1150.92224269377,1137.54978147437,1222.40156879379,1219.8044794914,1263.71327228306,1201.68950067399,1247.92275319436,1159.08084981557
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2000,1213.72988648614,1145.06440158807,1140.85286375147,1255.70549194395,1185.59443420225,1196.60392503787,1244.81203126641,1235.69128592799,1195.12982112229,1302.28896273799,1344.66251268258,1299.45512488681,1345.3356231027,1287.74093346936,1245.79723420748,1209.12587868608,1180.42503992261,1191.70495483709,1224.59414175727,1290.61622279844,1277.2146201662,1297.36536484883,1258.49444795473,1213.40740654685,1119.49030286773,1117.9146038555,1144.79014553336,1053.49549628371,1105.80152407714,1051.52434406438,1126.41520377036
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2030,1283.74768101885,1121.21048801102,1147.37301654719,1157.39164390891,1283.47674491455,1301.98890823328,1294.34540371153,1400.39975233414,1422.95179014219,1428.5841834415,1419.00434335587,1416.56946003762,1368.64539958141,1318.96231025671,1295.52786891317,1220.91068875648,1205.82314121769,1126.00363913997,1134.51434968797,1128.30954700361,1178.67138023713,1177.89079415591,1294.39937186054,1326.26170540951,1372.60555245679,1345.29890039553,1381.76468570528,1388.16383422485,1342.40428670784,1243.65803306109,1318.52857846606
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2060,1299.32085082222,1331.52659868369,1262.58642626474,1291.58092132666,1288.07036945447,1188.81036184352,1216.4014482068,1252.57722717137,1261.10668148057,1275.81248699467,1271.95138238631,1262.28691708067,1231.01397262943,1251.3069104313,1269.47124455155,1305.14206773296,1307.77583092683,1410.21351595006,1351.61583911147,1410.75957846053,1463.29974827253,1393.01787974677,1323.96653703422,1319.12677343296,1270.50121251222,1217.22492304776,1276.13526509182,1213.48916636416,1321.18797915038,1361.21618508997,1365.24445608705
"mtsunapeeNH_100km_shp","shp","rcp45","CCSM4",1970,1180.39194779781,1163.94468038286,1193.72002694376,1154.61010699229,1189.40457798504,1124.71442138163,1088.31314020825,1076.81543592948,1074.9243920848,1109.02432535336,1145.00111773559,1179.77342139604,1215.36381130949,1271.4927343713,1226.54539277717,1202.54288593007,1236.02140458695,1155.40955862677,1192.51569143228,1195.17835342428,1180.05028329553,1132.98386895844,1184.5884622653,1203.26354243843,1166.33605579299,1214.96542356095,1294.05247178415,1280.45177838961,1185.54521946775,1226.15462893225,1188.62576959441
"mtsunapeeNH_100km_shp","shp","rcp45","CCSM4",2000,1205.76767983287,1155.63792582063,1157.20961108076,1116.03979392279,1101.08652703861,1140.15953157662,1130.56143414869,1119.34986519389,1181.77464705433,1172.86051194919,1139.75133350165,1139.3289217332,1166.42102423077,1197.7450563824,1181.5882316322,1243.80266245335,1273.34187150418,1272.92880385542,1275.16893461421,1244.66579723622,1150.84675495877,1096.8196015496,1105.93297775057,1112.34803841434,1237.96002310262,1258.45471956642,1333.28248144042,1359.94234381901,1351.52960860913,1271.92140749759,1337.23852472209
